테이블명,컬럼명,데이터타입,NULL허용,기본값,위치
airport,id,uuid,NOT NULL,gen_random_uuid(),1
airport,airport_code,character varying,NOT NULL,null,2
airport,passenger_count,integer,NULL 가능,1,8
airport,special_requests,text,NULL 가능,null,10
airport,base_price,numeric,NULL 가능,0,11
airport,created_at,timestamp with time zone,NULL 가능,now(),12
airport,updated_at,timestamp with time zone,NULL 가능,now(),13
airport_name,airport_id,bigint,NOT NULL,nextval('airport_name_airport_id_seq'::regclass),1
airport_name,airport_code,text,NOT NULL,null,2
airport_name,airport_name,text,NOT NULL,null,3
airport_name,created_at,timestamp with time zone,NULL 가능,now(),4
airport_price,id,uuid,NOT NULL,gen_random_uuid(),1
airport_price,airport_code,text,NOT NULL,null,2
airport_price,service_type,text,NOT NULL,null,3
airport_price,vehicle_type,text,NOT NULL,null,4
airport_price,vehicle_examples,text,NULL 가능,null,5
airport_price,recommended_capacity,integer,NULL 가능,null,6
airport_price,max_capacity,integer,NULL 가능,null,7
airport_price,route,text,NOT NULL,null,8
airport_price,route_from,text,NOT NULL,'하노이 공항'::text,9
airport_price,route_to,text,NOT NULL,null,10
airport_price,duration,text,NULL 가능,null,11
airport_price,price,integer,NOT NULL,null,12
airport_price,year,integer,NULL 가능,2026,13
airport_price,is_active,boolean,NULL 가능,true,14
airport_price,created_at,timestamp with time zone,NULL 가능,now(),15
airport_price,updated_at,timestamp with time zone,NULL 가능,now(),16
available_tours_by_date,tour_id,uuid,NULL 가능,null,1
available_tours_by_date,tour_code,text,NULL 가능,null,2
available_tours_by_date,tour_name,text,NULL 가능,null,3
available_tours_by_date,location,text,NULL 가능,null,4
available_tours_by_date,min_guests,integer,NULL 가능,null,5
available_tours_by_date,max_guests,integer,NULL 가능,null,6
available_tours_by_date,price_per_person,numeric,NULL 가능,null,7
available_tours_by_date,vehicle_type,text,NULL 가능,null,8
available_tours_by_date,available_date,date,NULL 가능,null,9
business_notifications,id,uuid,NOT NULL,gen_random_uuid(),1
business_notifications,notification_id,uuid,NULL 가능,null,2
business_notifications,business_type,character varying,NOT NULL,null,3
business_notifications,department,character varying,NULL 가능,null,4
business_notifications,urgency_level,integer,NULL 가능,1,5
business_notifications,estimated_duration,integer,NULL 가능,null,6
business_notifications,required_action,text,NULL 가능,null,7
business_notifications,checklist,jsonb,NULL 가능,null,8
business_notifications,related_users,ARRAY,NULL 가능,null,9
business_notifications,created_at,timestamp with time zone,NULL 가능,now(),10
business_notifications,updated_at,timestamp with time zone,NULL 가능,now(),11
car,id,uuid,NOT NULL,gen_random_uuid(),1
car,base_price,numeric,NULL 가능,null,2
car,created_at,timestamp with time zone,NULL 가능,now(),3
car,updated_at,timestamp with time zone,NULL 가능,now(),4
car,car_code,character varying,NULL 가능,null,5
car,special_requests,text,NULL 가능,null,6
car,car_count,integer,NULL 가능,1,7
confirmation_status,id,uuid,NOT NULL,gen_random_uuid(),1
confirmation_status,reservation_id,uuid,NOT NULL,null,2
confirmation_status,quote_id,uuid,NULL 가능,null,3
confirmation_status,status,text,NOT NULL,'waiting'::text,4
confirmation_status,generated_at,timestamp with time zone,NULL 가능,null,5
confirmation_status,sent_at,timestamp with time zone,NULL 가능,null,6
confirmation_status,email_sent_to,text,NULL 가능,null,7
confirmation_status,created_at,timestamp with time zone,NOT NULL,now(),8
confirmation_status,updated_at,timestamp with time zone,NOT NULL,now(),9
cruise,id,uuid,NOT NULL,gen_random_uuid(),1
cruise,cruise_name,character varying,NOT NULL,null,2
cruise,departure_date,date,NOT NULL,null,3
cruise,return_date,date,NOT NULL,null,4
cruise,departure_port,character varying,NULL 가능,null,5
cruise,room_type,character varying,NULL 가능,null,6
cruise,adult_count,integer,NULL 가능,0,7
cruise,child_count,integer,NULL 가능,0,8
cruise,infant_count,integer,NULL 가능,0,9
cruise,special_requests,text,NULL 가능,null,10
cruise,base_price,numeric,NULL 가능,0,11
cruise,created_at,timestamp with time zone,NULL 가능,now(),12
cruise,updated_at,timestamp with time zone,NULL 가능,now(),13
cruise_document,id,uuid,NOT NULL,gen_random_uuid(),1
cruise_document,user_id,uuid,NOT NULL,null,2
cruise_document,reservation_id,uuid,NULL 가능,null,3
cruise_document,document_type,text,NOT NULL,null,4
cruise_document,image_data,text,NOT NULL,null,5
cruise_document,checkout_date,date,NULL 가능,null,6
cruise_document,created_at,timestamp with time zone,NULL 가능,now(),7
cruise_document,updated_at,timestamp with time zone,NULL 가능,now(),8
cruise_holiday_surcharge,id,uuid,NOT NULL,gen_random_uuid(),1
cruise_holiday_surcharge,cruise_name,text,NOT NULL,null,2
cruise_holiday_surcharge,schedule_type,text,NULL 가능,'1N2D'::text,3
cruise_holiday_surcharge,holiday_date,date,NOT NULL,null,4
cruise_holiday_surcharge,holiday_date_end,date,NULL 가능,null,5
cruise_holiday_surcharge,holiday_name,text,NULL 가능,null,6
cruise_holiday_surcharge,surcharge_per_person,numeric,NOT NULL,0,7
cruise_holiday_surcharge,surcharge_type,text,NULL 가능,'per_person'::text,8
cruise_holiday_surcharge,valid_year,integer,NOT NULL,null,9
cruise_holiday_surcharge,is_confirmed,boolean,NULL 가능,true,10
cruise_holiday_surcharge,currency,text,NOT NULL,'VND'::text,11
cruise_holiday_surcharge,notes,text,NULL 가능,null,12
cruise_holiday_surcharge,created_at,timestamp with time zone,NULL 가능,now(),13
cruise_holiday_surcharge,updated_at,timestamp with time zone,NULL 가능,now(),14
cruise_holiday_surcharge,surcharge_child,numeric,NULL 가능,null,15
cruise_info,id,uuid,NOT NULL,gen_random_uuid(),1
cruise_info,cruise_code,text,NOT NULL,null,2
cruise_info,name,text,NOT NULL,null,3
cruise_info,description,text,NULL 가능,null,4
cruise_info,duration,text,NULL 가능,null,5
cruise_info,features,jsonb,NULL 가능,null,6
cruise_info,images,jsonb,NULL 가능,null,7
cruise_info,base_price,numeric,NULL 가능,0,8
cruise_info,created_at,timestamp with time zone,NULL 가능,now(),9
cruise_info,updated_at,timestamp with time zone,NULL 가능,now(),10
cruise_info,category,text,NULL 가능,null,11
cruise_info,cruise_name,text,NOT NULL,null,12
cruise_info,cruise_image,text,NULL 가능,null,13
cruise_info,room_name,text,NOT NULL,null,14
cruise_info,room_image,text,NULL 가능,null,15
cruise_info,room_area,text,NULL 가능,null,16
cruise_info,room_description,text,NULL 가능,null,17
cruise_info,room_url,text,NULL 가능,null,18
cruise_info,bed_type,text,NULL 가능,null,19
cruise_info,max_adults,integer,NULL 가능,2,20
cruise_info,max_guests,integer,NULL 가능,3,21
cruise_info,has_balcony,boolean,NULL 가능,false,22
cruise_info,is_vip,boolean,NULL 가능,false,23
cruise_info,has_butler,boolean,NULL 가능,false,24
cruise_info,is_recommended,boolean,NULL 가능,false,25
cruise_info,connecting_available,boolean,NULL 가능,false,26
cruise_info,extra_bed_available,boolean,NULL 가능,true,27
