table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name,constraint_type
auth,audit_log_entries,id,null,null,null,audit_log_entries_pkey,PRIMARY KEY
auth,audit_log_entries,null,null,null,null,16492_16523_2_not_null,CHECK
auth,audit_log_entries,null,null,null,null,16492_16523_5_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_3_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_1_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_11_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_5_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_6_not_null,CHECK
auth,flow_state,null,null,null,null,16492_16925_4_not_null,CHECK
auth,flow_state,id,null,null,null,flow_state_pkey,PRIMARY KEY
auth,identities,provider_id,null,null,null,identities_provider_id_provider_unique,UNIQUE
auth,identities,null,null,null,null,16492_16723_4_not_null,CHECK
auth,identities,null,null,null,null,16492_16723_3_not_null,CHECK
auth,identities,null,null,null,null,16492_16723_2_not_null,CHECK
auth,identities,null,null,null,null,16492_16723_1_not_null,CHECK
auth,identities,user_id,null,null,null,identities_user_id_fkey,FOREIGN KEY
auth,identities,null,null,null,null,16492_16723_9_not_null,CHECK
auth,identities,provider,null,null,null,identities_provider_id_provider_unique,UNIQUE
auth,identities,id,null,null,null,identities_pkey,PRIMARY KEY
auth,instances,null,null,null,null,16492_16516_1_not_null,CHECK
auth,instances,id,null,null,null,instances_pkey,PRIMARY KEY
auth,mfa_amr_claims,null,null,null,null,16492_16812_5_not_null,CHECK
auth,mfa_amr_claims,session_id,null,null,null,mfa_amr_claims_session_id_fkey,FOREIGN KEY
auth,mfa_amr_claims,id,null,null,null,amr_id_pk,PRIMARY KEY
auth,mfa_amr_claims,session_id,null,null,null,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE
auth,mfa_amr_claims,authentication_method,null,null,null,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE
auth,mfa_amr_claims,null,null,null,null,16492_16812_1_not_null,CHECK
auth,mfa_amr_claims,null,null,null,null,16492_16812_3_not_null,CHECK
auth,mfa_amr_claims,null,null,null,null,16492_16812_2_not_null,CHECK
auth,mfa_amr_claims,null,null,null,null,16492_16812_4_not_null,CHECK
auth,mfa_challenges,factor_id,null,null,null,mfa_challenges_auth_factor_id_fkey,FOREIGN KEY
auth,mfa_challenges,id,null,null,null,mfa_challenges_pkey,PRIMARY KEY
auth,mfa_challenges,null,null,null,null,16492_16800_5_not_null,CHECK
auth,mfa_challenges,null,null,null,null,16492_16800_3_not_null,CHECK
auth,mfa_challenges,null,null,null,null,16492_16800_2_not_null,CHECK
auth,mfa_challenges,null,null,null,null,16492_16800_1_not_null,CHECK
auth,mfa_factors,null,null,null,null,16492_16787_7_not_null,CHECK
auth,mfa_factors,user_id,null,null,null,mfa_factors_user_id_fkey,FOREIGN KEY
auth,mfa_factors,id,null,null,null,mfa_factors_pkey,PRIMARY KEY
auth,mfa_factors,null,null,null,null,16492_16787_1_not_null,CHECK
auth,mfa_factors,null,null,null,null,16492_16787_2_not_null,CHECK
auth,mfa_factors,null,null,null,null,16492_16787_4_not_null,CHECK
auth,mfa_factors,last_challenged_at,null,null,null,mfa_factors_last_challenged_at_key,UNIQUE
auth,mfa_factors,null,null,null,null,16492_16787_5_not_null,CHECK
auth,mfa_factors,null,null,null,null,16492_16787_6_not_null,CHECK
auth,one_time_tokens,null,null,null,null,16492_16975_2_not_null,CHECK
auth,one_time_tokens,id,null,null,null,one_time_tokens_pkey,PRIMARY KEY
auth,one_time_tokens,null,null,null,null,16492_16975_4_not_null,CHECK
auth,one_time_tokens,null,null,null,null,16492_16975_3_not_null,CHECK
auth,one_time_tokens,null,null,null,null,16492_16975_7_not_null,CHECK
auth,one_time_tokens,user_id,null,null,null,one_time_tokens_user_id_fkey,FOREIGN KEY
auth,one_time_tokens,null,null,null,null,16492_16975_1_not_null,CHECK
auth,one_time_tokens,null,null,null,null,16492_16975_5_not_null,CHECK
auth,one_time_tokens,null,null,null,null,16492_16975_6_not_null,CHECK
auth,one_time_tokens,null,null,null,null,one_time_tokens_token_hash_check,CHECK
auth,refresh_tokens,token,null,null,null,refresh_tokens_token_unique,UNIQUE
auth,refresh_tokens,session_id,null,null,null,refresh_tokens_session_id_fkey,FOREIGN KEY
auth,refresh_tokens,null,null,null,null,16492_16505_2_not_null,CHECK
auth,refresh_tokens,id,null,null,null,refresh_tokens_pkey,PRIMARY KEY
auth,saml_providers,null,null,null,null,metadata_url not empty,CHECK
auth,saml_providers,id,null,null,null,saml_providers_pkey,PRIMARY KEY
auth,saml_providers,entity_id,null,null,null,saml_providers_entity_id_key,UNIQUE
auth,saml_providers,sso_provider_id,null,null,null,saml_providers_sso_provider_id_fkey,FOREIGN KEY
auth,saml_providers,null,null,null,null,16492_16854_2_not_null,CHECK
auth,saml_providers,null,null,null,null,16492_16854_3_not_null,CHECK
auth,saml_providers,null,null,null,null,16492_16854_4_not_null,CHECK
auth,saml_providers,null,null,null,null,16492_16854_1_not_null,CHECK
auth,saml_providers,null,null,null,null,metadata_xml not empty,CHECK
auth,saml_providers,null,null,null,null,entity_id not empty,CHECK
auth,saml_relay_states,sso_provider_id,null,null,null,saml_relay_states_sso_provider_id_fkey,FOREIGN KEY
auth,saml_relay_states,null,null,null,null,16492_16872_2_not_null,CHECK
auth,saml_relay_states,flow_state_id,null,null,null,saml_relay_states_flow_state_id_fkey,FOREIGN KEY
auth,saml_relay_states,null,null,null,null,16492_16872_3_not_null,CHECK
auth,saml_relay_states,null,null,null,null,16492_16872_1_not_null,CHECK
auth,saml_relay_states,null,null,null,null,request_id not empty,CHECK
auth,saml_relay_states,id,null,null,null,saml_relay_states_pkey,PRIMARY KEY
auth,sessions,null,null,null,null,16492_16753_2_not_null,CHECK
auth,sessions,id,null,null,null,sessions_pkey,PRIMARY KEY
auth,sessions,null,null,null,null,16492_16753_1_not_null,CHECK
auth,sessions,user_id,null,null,null,sessions_user_id_fkey,FOREIGN KEY
auth,sso_domains,null,null,null,null,16492_16839_3_not_null,CHECK
auth,sso_domains,null,null,null,null,16492_16839_2_not_null,CHECK
auth,sso_domains,null,null,null,null,domain not empty,CHECK
auth,sso_domains,null,null,null,null,16492_16839_1_not_null,CHECK
auth,sso_domains,id,null,null,null,sso_domains_pkey,PRIMARY KEY
auth,sso_domains,sso_provider_id,null,null,null,sso_domains_sso_provider_id_fkey,FOREIGN KEY
